City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.32,PT,1713783680
82,bethel,41.3712,-73.414,5.27,74,24,1.73,US,1713783683
83,blackmans bay,-43.0167,147.3167,13.07,85,100,1.5,AU,1713783686
84,port alfred,-33.5906,26.891,17.88,93,53,1.79,ZA,1713783692
85,ola,59.5833,151.2833,-0.48,92,34,0.66,RU,1713783700
86,chefchaouene,35.1688,-5.2636,20.17,33,26,1.27,MA,1713783703
87,vernon,50.2581,-119.2691,6.2,87,51,1.03,CA,1713783594
88,holualoa,19.6228,-155.9522,19.75,85,67,1.6,US,1713783708
89,port mathurin,-19.6833,63.4167,26.95,81,55,6.71,MU,1713783710
90,uturoa,-16.7333,-151.4333,28.22,74,2,0.8,PF,1713783713
91,chibougamau,49.9168,-74.3659,-15.8,77,65,4.29,CA,1713783715
92,grand falls-windsor,48.9332,-55.6649,1.95,89,100,0.45,CA,1713783717
93,palapye,-22.546,27.1251,32.53,15,0,2.91,BW,1713783721
94,saint-philippe,-21.3585,55.7679,28.77,82,22,0.24,RE,1713783522
95,isafjordur,66.0755,-23.124,7.02,65,0,2.57,IS,1713783728
96,enriquillo,17.9,-71.2333,24.62,88,24,4.74,DO,1713783730
97,queenstown,-31.8976,26.8753,27.33,29,99,8.2,ZA,1713783733
98,lanark,55.6737,-3.7817,13.97,74,100,2.54,GB,1713783735
99,mar del plata,-38.0023,-57.5575,15.05,54,0,5.14,AR,1713783469
100,bobrovskiy,56.6732,60.9807,21.09,23,0,2.0,RU,1713783738
101,enewetak,11.3474,162.3373,27.79,77,55,8.19,MH,1713783740
102,tambura,5.6,27.4667,38.93,22,59,2.05,SS,1713783745
103,lebu,-37.6167,-73.65,11.25,79,93,6.11,CL,1713783748
104,carutapera,-1.195,-46.02,26.28,92,98,1.37,BR,1713783750
105,north bend,43.4065,-124.2243,6.59,83,58,3.34,US,1713783752
106,kikwit,-5.041,18.8162,34.59,42,30,1.99,CD,1713783754
107,howrah,22.5892,88.3103,40.0,25,20,3.6,IN,1713783757
108,island harbour,50.724,-1.2758,10.66,62,94,0.89,GB,1713783758
109,east london,-33.0153,27.9116,25.71,77,90,5.78,ZA,1713783606
110,kalmunai,7.4167,81.8167,30.49,72,14,5.74,LK,1713783763
111,trincomalee,8.5711,81.2335,29.95,73,7,6.76,LK,1713783766
112,puerto ayora,-0.7393,-90.3518,24.19,100,77,2.24,EC,1713783769
113,tsimlyansk,47.6461,42.1019,19.02,37,0,2.21,RU,1713783771
114,lerwick,60.1545,-1.1494,9.0,71,70,7.13,GB,1713783773
115,pohrebyshche,49.4864,29.2636,12.09,55,97,3.17,UA,1713783776
116,ketchikan,55.3422,-131.6461,6.3,91,49,2.17,US,1713783778
117,acapulco de juarez,16.8634,-99.8901,24.7,60,35,1.33,MX,1713783781
118,jamestown,42.097,-79.2353,-0.3,94,2,1.23,US,1713783517
119,kapa'a,22.0752,-159.319,22.18,81,20,8.23,US,1713783785
120,prince george,53.9166,-122.753,5.14,57,99,1.34,CA,1713783609
121,villa gesell,-37.2639,-56.973,15.03,62,91,9.58,AR,1713783708
122,san fernando,15.0286,120.6898,34.85,56,12,1.53,PH,1713783278
123,geraldton,-28.7667,114.6,21.23,78,40,10.29,AU,1713783670
124,ngama,11.7833,17.1667,41.86,17,23,4.13,TD,1713783797
125,st. john's,47.5649,-52.7093,4.98,97,100,2.57,CA,1713783799
126,gwadar,25.1216,62.3254,28.77,62,0,6.7,PK,1713783802
127,asadabad,34.7824,48.1185,13.79,71,96,2.8,IR,1713783804
128,codrington,-38.2667,141.9667,10.24,79,30,2.85,AU,1713783806
129,papatowai,-46.5619,169.4708,7.72,80,58,4.06,NZ,1713783761
130,rikaze,29.25,88.8833,16.92,4,98,7.24,CN,1713783812
131,cockburn town,21.4612,-71.1419,25.13,78,19,7.41,TC,1713783814
132,whitehorse,60.7161,-135.0538,1.84,59,13,3.58,CA,1713783816
133,iskateley,67.6803,53.1512,-9.43,90,81,1.79,RU,1713783819
134,turpan,42.9333,89.1667,31.8,10,0,2.07,CN,1713783821
135,la sarre,48.8002,-79.1996,-8.56,83,39,2.5,CA,1713783823
136,petrolina de goias,-16.095,-49.3381,20.97,79,16,1.66,BR,1713783825
137,pacasmayo,-7.4006,-79.5714,20.27,86,40,3.56,PE,1713783827
138,saint-francois,46.4154,3.9054,7.69,58,100,6.17,FR,1713783829
139,kayyerkan,69.3786,87.7439,-13.72,89,97,3.16,RU,1713783832
140,healesville,-37.65,145.5167,15.35,91,0,1.72,AU,1713783834
141,pangody,65.85,74.4859,-10.46,89,100,8.07,RU,1713783837
142,saipan,15.1355,145.701,27.71,78,3,7.13,MP,1713783569
143,tual,-5.6667,132.75,29.12,77,100,3.54,ID,1713783841
144,fortuna,40.5982,-124.1573,5.51,100,0,4.12,US,1713783844
145,anadyr,64.75,177.4833,-8.72,66,0,1.0,RU,1713783769
146,ta`u,-14.2336,-169.5144,28.54,79,32,5.86,AS,1713783771
147,qacha's nek,-30.1154,28.6894,23.05,23,100,9.86,LS,1713783850
148,kiffa,16.6166,-11.4045,36.37,12,47,3.68,MR,1713783851
149,manado,1.487,124.8455,27.43,94,40,0.51,ID,1713783673
150,carnarvon,-24.8667,113.6333,24.26,68,83,11.15,AU,1713783611
151,wamba,8.9333,8.6,34.18,45,99,3.34,NG,1713783852
152,morondava,-20.2833,44.2833,28.35,60,0,4.24,MG,1713783852
